阿	af
挨	aia
捱	aiap
癌	aib
皑	aibp
凒	aibq
皚	aibs
皧	aibt
賹	aibu
溰	aieq
溾	aies
濭	aiet
隘	aif
絠	aifq
阨	aifs
隑	aift
焥	aihq
锿	aij
鎄	aijq
鑀	aijs
哀	aik
毐	aimq
瞹	aims
騃	aimt
嫒	ain
娭	ainq
娾	ains
嬡	aint
鴱	ainu
唉	aio
嗳	aioc
嗌	aiod
哎	aiop
啀	aioq
嘊	aios
噯	aiot
碍	aip
砹	aipp
礙	aipq
硋	aips
硙	aipt
磑	aipu
欬	aiqq
欸	aiqs
霭	air
暧	airp
昹	airq
曖	airs
靄	airt
靉	airu
矮	ais
嵦	aisq
躷	aiss
餲	aist
埃	ait
堨	aitq
塧	aits
壒	aitt
艾	aiu
蔼	aiup
藹	aiuq
薆	aius
﨟	aiut
伌	aivq
佁	aivs
僾	aivt
瑷	aiw
敱	aiwq
敳	aiws
璦	aiwt
愛	aixq
懓	aixs
懝	aixt
馤	aixu
叆	aiyq
誒	aiys
諰	aiyt
譪	aiyu
譺	aiyv
鱫	aiyw
爱	aiz
锕	aj
錒	ajq
腌	al
按	ana
揞	anap
安	anb
痷	anbq
厈	ancq
洝	aneq
隌	anfq
鞍	ang
骯	anggq
枊	angiq
卬	angjq
肮	angl
盎	angm
庵	angp
鞌	angq
醠	angqq
昂	angr
昻	angrq
岇	angsq
黯	anh
案	ani
桉	anip
铵	anj
銨	anjq
錌	anjs
裺	ankq
胺	anl
腤	anlq
盦	anmq
盫	anms
闇	anmt
鹌	ann
婩	annq
媕	anns
鵪	annt
鶕	annu
咹	anoq
唵	anos
啽	anot
氨	anq
犴	anqp
暗	anr
晻	anrq
雸	anrs
岸	ans
屵	ansq
屽	anss
峖	anst
罯	ansu
埯	ant
垵	antq
堓	ants
荌	anuq
菴	anus
萻	anut
葊	anuu
蓭	anuv
俺	anv
侒	anvq
偣	anvs
儑	anvt
玵	anwq
馣	anxq
谙	any
誝	anyq
諳	anys
韽	anyt
鮟	anyu
豻	anzq
貋	anzs
啊	ao
拗	aoa
扷	aoaq
抝	aoas
摮	aoat
擙	aoav
镺	aobq
螯	aoc
厫	aocq
軪	aocs
奥	aod
奡	aodq
奧	aods
澳	aoe
泑	aoeq
滶	aoes
澚	aoet
聱	aof
郩	aofq
隞	aoft
隩	aofu
廒	aog
熬	aoh
熝	aohq
爊	aohs
柪	aoiq
梎	aois
鏊	aoj
鏕	aojq
袄	aok
襖	aokq
凹	aol
鏖	aolp
骜	aom
眑	aomq
驁	aomt
鼇	aomu
媪	aon
媼	aonq
嫯	aons
鷔	aont
嗷	aoo
嗸	aooq
囂	aoos
嗄	aop
磝	aopq
獒	aoq
獓	aoqq
吖	aor
岙	aos
岰	aosq
嶅	aoss
嶴	aosu
坳	aot
垇	aotq
墺	aots
墽	aott
芺	aous
蔜	aouu
傲	aov
敖	aow
璈	aowq
懊	aox
慠	aoxu
鳌	aoy
翱	aoyp
翶	aoyq
翺	aoys
謷	aoyt
謸	aoyu
鰲	aoyv
遨	aoz
醃	aqq
把	baa
扒	baac
捌	baad
拔	baap
扷	baaq
抜	baas
八	bab
疤	babp
丷	babq
癹	babs
巼	babu
蚆	bacq
軷	bacs
夿	badq
巴	bae
灞	baep
爸	baf
颰	bafq
靶	bag
魃	bagp
弝	bagq
炦	bahq
摆	baia
掰	baiac
捭	baiad
拜	baiap
擺	baiaq
拝	baias
挀	baiat
白	baib
败	baibc
百	baibp
贁	baibq
絔	baifq
庍	baigq
稗	baih
柏	baii
栢	baiiq
兡	baikq
襬	baiks
竡	bailq
粨	baimq
粺	baims
犤	bainq
唄	baioq
朳	baiq
猈	baiqq
柭	bais
欛	bait
薭	baiuq
佰	baiv
瓸	baiw
敗	baiwq
韛	baiws
钯	baj
釟	bajq
鈀	bajs
笆	bak
耙	bal
胈	balq
粑	bam
搬	bana
拌	banac
扳	banad
扮	banap
搫	banaq
半	banb
癍	banbc
瘢	banbp
蝂	bancq
螁	bancs
螌	banct
湴	baneq
绊	banf
阪	banfp
絆	banfq
瓣	bang
挷	bangaq
捠	bangas
搒	bangat
蚌	bangc
蚄	bangcq
蛖	bangcs
蜯	bangct
浜	bange
邦	bangf
绑	bangfp
綁	bangfq
縍	bangfs
邫	bangft
鞤	banggq
髈	banggs
稖	banghq
棒	bangi
梆	bangic
榜	bangip
棓	bangiq
帮	bangj
镑	bangjp
幫	bangjq
鎊	bangjs
幇	bangjt
幚	bangju
膀	bangl
磅	bangp
牓	bangpq
硥	bangps
靽	bangq
垹	bangtq
塝	bangts
蒡	bangu
傍	bangv
玤	bangwq
谤	bangy
謗	bangyq
艕	bangzq
秚	banhq
板	bani
柈	baniq
钣	banj
鈑	banjq
鉡	banjs
褩	bankq
办	banl
朌	banlq
肦	banls
粄	banmq
闆	banms
姅	bannq
鳻	banns
版	banp
妭	banq
昄	banrq
岅	bansq
坂	bant
坢	bantq
伴	banv
班	banw
斑	banwp
攽	banwq
斒	banws
瓪	banwt
辦	banxq
怑	banxs
辬	banxt
颁	bany
頒	banyq
魬	banys
般	banz
舨	banzp
跘	banzq
吧	bao
报	baoa
抱	baoap
包	baob
龅	baobc
勹	baobd
宝	baobp
寶	baobq
勽	baobs
宲	baobt
寚	baobu
寳	baobv
賲	baobw
髱	baobx
忁	baocq
蚫	baocs
齙	baoct
剥	baod
剝	baodq
瀑	baoe
緥	baofq
骲	baogq
炮	baoh
煲	baohc
爆	baohp
虣	baohq
枹	baoiq
鉋	baojq
鑤	baojs
铇	baojt
褒	baok
褓	baokp
笣	baokq
袌	baoks
裦	baokt
襃	baoku
胞	baol
闁	baomq
駂	baoms
鸨	baon
媬	baonq
犦	baons
鳵	baont
鴇	baonu
嚗	baooq
叭	baop
哱	baoq
犳	baoqq
暴	baor
曝	baorc
雹	baorp
曓	baorq
靌	baors
饱	baos
飽	baosq
飹	baoss
堡	baot
報	baotq
堢	baots
薄	baou
葆	baouc
苞	baoup
菢	baouq
蕔	baous
藵	baout
保	baov
佨	baovq
儤	baovs
哵	baow
珤	baowq
怉	baoxq
窇	baoxs
鲍	baoy
鮑	baoyq
孢	baoz
趵	baozc
豹	baozp
豝	baqq
霸	bar
罢	bas
岜	basp
峇	basq
矲	bass
罷	bast
鼥	basu
坝	bat
壩	batq
垻	bats
芭	bau
茇	bauc
菝	baup
仈	bavq
玐	bawq
覇	baxq
鲅	bay
叐	bayq
犮	bays
羓	bayt
詙	bayu
鮁	bayv
鮊	bayw
鲃	bayx
鲌	bayy
魞	bayz
跋	baz
跁	bazq
揹	beiaq
北	beib
贝	beibp
貝	beibq
辈	beic
輩	beicq
蛽	beics
軰	beict
陂	beif
邶	beifp
郥	beifq
鄁	beifs
鞴	beig
鞁	beigq
鞞	beigs
骳	beigt
焙	beih
杯	beii
杮	beiiq
柸	beiis
桮	beiit
梖	beiiu
棑	beiiv
棓	beiiw
椑	beiix
钡	beij
鐾	beijp
鉳	beijq
鋇	beijs
被	beik
褙	beikp
箄	beikq
背	beil
盃	beimq
糒	beims
鹎	bein
牬	beinq
犕	beins
鵯	beint
呗	beio
唄	beioq
碑	beip
碚	beipp
狈	beiq
狽	beiqq
昁	beirq
卑	beis
孛	beisp
禙	beisq
蓓	beiu
苝	beiuq
藣	beius
倍	beiv
備	beivq
俻	beivs
偝	beivt
偹	beivu
僃	beivv
珼	beiwq
琲	beiws
悲	beix
悖	beixc
惫	beixp
憊	beixq
愂	beixs
誖	beiyq
諀	beiys
备	beiz
捹	benaq
撪	benas
賁	benbq
蟦	bencq
奔	bend
夯	bendp
夲	bendq
奙	bends
泍	beneq
渀	benes
漰	benet
揼	bengaq
痭	bengbq
蚌	bengc
蜯	bengcq
奟	bengdq
泵	benge
绷	bengf
綳	bengfq
絣	bengfs
繃	bengft
鞛	benggq
鏰	bengjq
镚	bengjs
閍	bengmq
嘣	bengo
嗙	bengoq
體	bengq
崩	bengs
嵭	bengsq
祊	bengss
埄	bengtq
埲	bengts
塴	bengtt
菶	benguq
伻	bengvq
甏	bengw
琣	bengwq
琫	bengws
甭	bengy
甮	bengyq
蹦	bengz
迸	bengzp
跰	bengzq
逬	bengzs
炃	benhq
本	beni
栟	beniq
桳	benis
楍	benit
锛	benj
錛	benjq
笨	benk
犇	bennq
喯	benoq
畚	bens
坌	bent
